127.0.0.1 - - [08/Feb/2018:13:42:51 +0000] "GET /2018/02/08/hello-world/ HTTP/1.1" 200 19549 "http://testewp.local/2018/02/08/hello-world/" "WordPress/4.9.4; http://testewp.local"
127.0.0.1 - - [08/Feb/2018:13:42:53 +0000] "POST /wp-cron.php?doing_wp_cron=1518097372.5481059551239013671875 HTTP/1.1" 499 0 "http://testewp.local/wp-cron.php?doing_wp_cron=1518097372.5481059551239013671875" "WordPress/4.9.4; http://testewp.local"
127.0.0.1 - - [08/Feb/2018:14:32:48 +0000] "GET / HTTP/1.0" 200 53163 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:32:49 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://testewp.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:32:55 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:32:55 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:32:55 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftestewp.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2249 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:32:55 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.4 HTTP/1.0" 200 98104 "http://testewp.local/wp-login.php?redirect_to=http%3A%2F%2Ftestewp.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:32:56 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://testewp.local/wp-login.php?redirect_to=http%3A%2F%2Ftestewp.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:33:00 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://testewp.local/wp-login.php?redirect_to=http%3A%2F%2Ftestewp.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:33:02 +0000] "GET /wp-admin/ HTTP/1.0" 200 54719 "http://testewp.local/wp-login.php?redirect_to=http%3A%2F%2Ftestewp.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [08/Feb/2018:14:33:02 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.4 HTTP/1.0" 200 109068 "http://testewp.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
